deck,Plague Death Knight,Spell Mage,Highlander Warrior,Handbuff Paladin,Secret Hunter,Highlander Priest,Flood Paladin,Mining Rogue,Handbuff Death Knight,Control Warrior,Other Mage,Other Priest,Other Paladin,Spell Token Hunter,Highlander Shaman,Other Warlock,Other Death Knight,Other Warrior,Wishing Rogue,Other Rogue,Unholy Death Knight,Other Druid,Rainbow Death Knight
Plague Death Knight,50.0,42.86,48.84,38.81,31.25,40.89,48.39,54.39,50.3,62.0,85.57,78.45,76.91,40.74,58.93,72.79,59.49,77.96,63.4,72.35,66.44,79.18,50.2
Spell Mage,57.05,50.0,42.43,40.1,36.46,60.1,49.45,56.06,52.92,47.57,84.19,79.54,71.7,41.85,59.98,73.56,65.03,71.86,63.92,71.78,60.99,77.07,55.46
Highlander Warrior,51.15,57.53,50.0,47.93,39.54,44.4,52.16,62.71,56.07,66.22,86.73,75.81,76.16,44.6,71.36,69.42,68.47,76.79,71.25,73.36,69.55,81.25,49.81
Handbuff Paladin,61.18,59.89,52.06,50.0,59.37,48.97,39.34,55.48,58.31,64.86,83.82,74.88,74.8,45.51,58.92,71.01,71.87,74.18,70.98,75.93,71.6,83.3,60.3
Secret Hunter,68.74,63.53,60.45,40.62,50.0,63.03,45.94,56.9,51.06,69.03,84.85,76.27,71.95,46.63,64.21,68.85,71.91,75.05,66.09,77.19,62.67,79.48,58.52
Highlander Priest,59.1,39.84,55.59,51.02,36.96,50.0,43.18,54.79,69.11,55.97,79.39,74.48,73.44,39.07,57.55,69.67,66.42,75.87,60.59,69.7,68.0,81.77,58.09
Flood Paladin,51.6,50.54,47.83,60.65,54.05,56.81,50.0,50.13,65.72,59.28,89.34,74.01,83.44,65.16,57.55,72.48,70.65,78.44,66.73,80.79,78.53,85.68,46.96
Mining Rogue,45.6,43.87,37.28,44.45,43.09,45.2,49.86,50.0,45.0,43.38,80.69,70.85,67.43,46.63,53.81,68.27,58.31,70.6,55.11,70.97,60.28,76.92,46.25
Handbuff Death Knight,49.69,47.01,43.92,41.68,48.93,30.88,34.27,55.0,50.0,55.37,76.89,74.42,66.92,38.99,53.16,63.18,56.79,65.23,63.56,68.83,57.49,76.55,48.8
Control Warrior,37.93,52.35,33.77,35.13,30.96,44.02,40.71,56.61,44.62,50.0,82.32,78.03,66.72,37.9,55.03,63.61,54.65,70.27,54.63,65.45,59.86,74.82,34.39
Other Mage,14.29,15.72,13.16,16.17,15.14,20.6,10.65,19.3,23.1,17.67,50.0,42.9,35.09,10.5,21.55,31.84,18.92,34.07,17.95,32.55,22.81,46.43,22.79
Other Priest,21.54,20.36,24.18,25.11,23.72,25.51,25.83,29.14,25.57,21.96,57.09,50.0,44.73,31.59,24.59,41.97,29.54,40.86,28.74,44.67,36.7,53.67,33.5
Other Paladin,22.93,28.29,23.83,24.88,28.04,26.55,16.55,32.56,33.07,33.11,64.9,55.26,50.0,23.46,22.27,47.95,33.78,50.24,36.87,50.26,39.89,60.0,26.92
Spell Token Hunter,59.25,58.14,55.39,54.48,53.36,60.92,34.83,53.36,61.0,62.09,89.49,68.4,76.26,50.0,53.29,65.86,64.78,77.35,68.1,74.49,70.47,76.01,58.18
Highlander Shaman,40.99,39.76,28.63,41.07,35.78,42.44,42.44,46.18,46.83,44.96,78.44,75.4,77.72,46.7,50.0,69.84,48.93,64.18,56.65,67.11,66.15,77.59,40.57
Other Warlock,27.2,26.43,30.57,28.98,30.93,30.32,27.51,31.72,36.81,36.38,68.15,58.02,51.81,34.13,30.15,50.0,37.4,57.8,37.93,53.09,47.86,58.8,35.6
Other Death Knight,40.43,34.96,31.42,27.92,27.82,33.57,29.34,41.68,43.2,45.34,81.07,70.27,66.21,34.88,51.06,62.59,50.0,66.09,56.73,54.39,56.08,76.2,41.29
Other Warrior,21.95,27.7,23.08,25.81,24.94,23.91,21.36,29.39,34.76,29.72,65.92,59.13,49.27,22.64,35.53,41.94,33.69,50.0,33.06,43.01,40.46,59.72,27.14
Wishing Rogue,36.59,36.07,28.74,29.01,33.9,39.4,33.26,44.88,36.43,45.36,82.04,71.25,63.12,31.89,43.34,62.06,43.26,66.93,50.0,61.29,56.53,72.05,34.97
Other Rogue,27.64,27.99,26.63,24.06,22.8,30.29,19.2,29.02,31.16,34.54,67.25,55.32,49.73,25.5,32.88,46.9,45.6,56.98,38.7,50.0,38.9,58.13,32.43
Unholy Death Knight,33.55,38.9,30.44,28.39,37.32,32.0,21.46,39.71,42.5,40.13,77.18,63.29,60.1,29.52,33.84,52.13,43.91,59.23,43.46,61.09,50.0,71.42,43.62
Other Druid,20.72,22.92,18.75,16.69,20.51,18.22,14.31,22.84,23.44,25.17,53.56,46.32,40.0,23.98,22.4,41.19,23.52,40.27,27.94,41.86,28.57,50.0,23.07
Rainbow Death Knight,49.79,44.44,50.18,39.69,41.47,41.9,53.03,53.75,51.19,65.6,77.2,66.49,73.07,41.81,59.42,64.39,58.7,72.85,65.02,67.56,56.37,76.92,50.0
